## FlyBase unique proteins by gene table
## Generated: Sun Dec 20 13:03:33 2015
## Using datasource: dbi:Pg:dbname=fb_2016_01_reporting;host=flysql15;port=5432...
##FBgn	FB_gene_symbol	representative_protein	identical_protein(s)

FBgn0031514	CG3332	CG3332-PD	
FBgn0031515	CG9664	CG9664-PA	CG9664-PB
FBgn0031515	CG9664	CG9664-PC	
FBgn0031515	CG9664	CG9664-PD	
FBgn0031516	CG9663	CG9663-PA	
FBgn0031517	CG15406	CG15406-PA	
FBgn0031518	CG3277	CG3277-PC	
FBgn0031519	CG3326	CG3326-PA	CG3326-PB
FBgn0031520	CG8837	CG8837-PA	CG8837-PB
FBgn0031522	CG3285	CG3285-PA	CG3285-PB
FBgn0031523	CG15408	CG15408-PA	
FBgn0031526	CG8838	CG8838-PA	
FBgn0031528	CG15412	CG15412-PB	
FBgn0031528	CG15412	CG15412-PC	
FBgn0031529	CG9662	CG9662-PA	CG9662-PB
FBgn0031530	pgant2	pgant2-PA	pgant2-PB
FBgn0031531	CG8840	CG8840-PA	
FBgn0031533	CG2772	CG2772-PA	
FBgn0031534	Snx1	Snx1-PA	
FBgn0031534	Snx1	Snx1-PB	
FBgn0031535	CG12795	CG12795-PB	
FBgn0031536	Cog3	Cog3-PA	
FBgn0031538	CG3246	CG3246-PA	
FBgn0031540	CG3238	CG3238-PA	CG3238-PB
FBgn0031542	CG15414	CG15414-PA	
FBgn0031544	CG17593	CG17593-PA	CG17593-PB
FBgn0031545	CG3213	CG3213-PA	
FBgn0031546	CG8851	CG8851-PA	
FBgn0031546	CG8851	CG8851-PC	
FBgn0031547	Sr-CIV	Sr-CIV-PA	
FBgn0031548	CG8852	CG8852-PA	
FBgn0031549	Spindly	Spindly-PB	
FBgn0031550	Che-13	Che-13-PA	
FBgn0031554	CG15418	CG15418-PA	
FBgn0031558	CG16704	CG16704-PA	CG16704-PB
FBgn0031559	CG3513	CG3513-PA	
FBgn0031560	CG16713	CG16713-PA	
FBgn0031561	IM33	IM33-PA	IM33-PB
FBgn0031562	CG3604	CG3604-PA	CG3604-PB
FBgn0031563	CG10031	CG10031-PA	
FBgn0031564	CG2816	CG2816-PB	
FBgn0031566	CG2818	CG2818-PA	
FBgn0031566	CG2818	CG2818-PB	
FBgn0031568	CG10019	CG10019-PB	CG10019-PC
FBgn0031571	bark	bark-PA	
FBgn0031571	bark	bark-PB	bark-PC
FBgn0031573	CG3407	CG3407-PA	
FBgn0031574	CG3964	CG3964-PA	
FBgn0031574	CG3964	CG3964-PB	CG3964-PC
FBgn0031575	Cep97	Cep97-PB	
FBgn0031575	Cep97	Cep97-PD	
FBgn0031579	CG15422	CG15422-PA	
FBgn0031580	CG15423	CG15423-PA	
FBgn0031585	CG2955	CG2955-PA	
FBgn0031589	CG3714	CG3714-PA	
FBgn0031589	CG3714	CG3714-PB	CG3714-PC,CG3714-PD,CG3714-PE,CG3714-PF
FBgn0031589	CG3714	CG3714-PG	
FBgn0031589	CG3714	CG3714-PH	
FBgn0031590	CG3702	CG3702-PA	CG3702-PB
FBgn0031592	Art2	Art2-PA	Art2-PB
FBgn0031596	CG15429	CG15429-PA	
FBgn0031596	CG15429	CG15429-PB	
FBgn0031597	CG17612	CG17612-PA	CG17612-PB
FBgn0031598	Vps53	Vps53-PA	
FBgn0031600	CG3652	CG3652-PA	
FBgn0031601	Dim1	Dim1-PA	
FBgn0031602	CG15431	CG15431-PA	CG15431-PB
FBgn0031603	CG15432	CG15432-PA	CG15432-PB,CG15432-PC
FBgn0031604	Elp3	Elp3-PA	
FBgn0031606	CG15439	CG15439-PA	
FBgn0031607	CG15440	CG15440-PA	
FBgn0031608	CG15435	CG15435-PA	CG15435-PB
FBgn0031609	CG15443	CG15443-PA	CG15443-PB
FBgn0031610	CG15436	CG15436-PA	
FBgn0031611	CG17840	CG17840-PA	
FBgn0031613	HP6	HP6-PA	
FBgn0031617	CG15635	CG15635-PB	
FBgn0031619	CG3355	CG3355-PA	
FBgn0031619	CG3355	CG3355-PB	
FBgn0031620	CG11929	CG11929-PA	
FBgn0031620	CG11929	CG11929-PB	
FBgn0031621	Elba3	Elba3-PA	
FBgn0031622	CG3251	CG3251-PA	
FBgn0031623	Taf12L	Taf12L-PA	
FBgn0031626	CG15631	CG15631-PA	
FBgn0031626	CG15631	CG15631-PB	
FBgn0031627	CG15630	CG15630-PA	
FBgn0031628	CG3294	CG3294-PA	
FBgn0031628	CG3294	CG3294-PB	
FBgn0031629	Clect27	Clect27-PA	Clect27-PB
FBgn0031630	CG15629	CG15629-PA	
FBgn0031631	CG3225	CG3225-PA	
FBgn0031632	CG15628	CG15628-PA	CG15628-PB
FBgn0031633	Fnta	Fnta-PA	Fnta-PB
FBgn0031634	Ir25a	Ir25a-PB	Ir25a-PE
FBgn0031634	Ir25a	Ir25a-PC	
FBgn0031634	Ir25a	Ir25a-PD	
FBgn0031635	tank	tank-PA	tank-PB
FBgn0031636	CG12194	CG12194-PA	CG12194-PC
FBgn0031636	CG12194	CG12194-PB	
FBgn0031637	mxt	mxt-PA	mxt-PB,mxt-PC,mxt-PE
FBgn0031637	mxt	mxt-PD	
FBgn0031637	mxt	mxt-PF	
FBgn0031637	mxt	mxt-PG	
FBgn0031638	CG11927	CG11927-PA	
FBgn0031639	mRpS2	mRpS2-PA	
FBgn0031640	Mon1	Mon1-PA	
FBgn0031643	CG3008	CG3008-PA	
FBgn0031644	CG15625	CG15625-PA	
FBgn0031645	CG3036	CG3036-PA	CG3036-PB
FBgn0031646	CG2837	CG2837-PA	CG2837-PB,CG2837-PC,CG2837-PD
FBgn0031649	hoe2	hoe2-PA	
FBgn0031650	CG14044	CG14044-PA	
FBgn0031651	mRpL24	mRpL24-PA	
FBgn0031652	jet	jet-PA	
FBgn0031652	jet	jet-PB	
FBgn0031653	Jon25Biii	Jon25Biii-PA	
FBgn0031654	Jon25Bii	Jon25Bii-PA	Jon25Bii-PB
FBgn0031655	Marcal1	Marcal1-PA	
FBgn0031657	CG3756	CG3756-PA	
FBgn0031659	CG14043	CG14043-PA	
FBgn0031660	mRpL28	mRpL28-PA	mRpL28-PB
FBgn0031661	Gmd	Gmd-PA	
FBgn0031662	CG3792	CG3792-PA	
FBgn0031663	CG8891	CG8891-PA	
FBgn0031664	CG8892	CG8892-PB	CG8892-PC,CG8892-PD,CG8892-PE
FBgn0031668	CG31917	CG31917-PA	
FBgn0031670	CG3887	CG3887-PA	CG3887-PB,CG3887-PC
FBgn0031673	CG31650	CG31650-PA	CG31650-PB,CG31650-PC,CG31650-PD,CG31650-PE,CG31650-PF
FBgn0031673	CG31650	CG31650-PG	
FBgn0031675	CG9121	CG9121-PA	
FBgn0031675	CG9121	CG9121-PB	CG9121-PC,CG9121-PD
FBgn0031676	CG14040	CG14040-PA	
FBgn0031677	CG14036	CG14036-PA	
FBgn0031678	CG31918	CG31918-PA	
FBgn0031681	pgant5	pgant5-PA	
FBgn0031681	pgant5	pgant5-PB	
FBgn0031682	CG5828	CG5828-PA	CG5828-PB
FBgn0031683	CG4230	CG4230-PA	
FBgn0031683	CG4230	CG4230-PB	
FBgn0031683	CG4230	CG4230-PC	
FBgn0031684	ND-13A	ND-13A-PA	ND-13A-PB,ND-13A-PC
FBgn0031688	Cyp28d2	Cyp28d2-PA	
FBgn0031689	Cyp28d1	Cyp28d1-PA	
FBgn0031690	CG7742	CG7742-PA	CG7742-PC,CG7742-PD
FBgn0031690	CG7742	CG7742-PB	
FBgn0031692	TpnC25D	TpnC25D-PA	TpnC25D-PC
FBgn0031692	TpnC25D	TpnC25D-PB	
FBgn0031693	Cyp4ac1	Cyp4ac1-PA	
FBgn0031694	Cyp4ac2	Cyp4ac2-PB	
FBgn0031695	Cyp4ac3	Cyp4ac3-PA	
FBgn0031696	Bub1	Bub1-PA	Bub1-PB,Bub1-PC
FBgn0031697	CG14024	CG14024-PA	CG14024-PB
FBgn0031698	Ncoa6	Ncoa6-PC	
FBgn0031698	Ncoa6	Ncoa6-PD	
FBgn0031698	Ncoa6	Ncoa6-PF	
FBgn0031700	CG14022	CG14022-PA	CG14022-PB
FBgn0031701	TotM	TotM-PA	TotM-PB
FBgn0031702	fusl	fusl-PA	fusl-PB,fusl-PC,fusl-PD,fusl-PE,fusl-PF
FBgn0031703	CG12512	CG12512-PA	
FBgn0031707	CG14020	CG14020-PA	
FBgn0031707	CG14020	CG14020-PB	
FBgn0031708	CG7382	CG7382-PA	
FBgn0031710	Vps52	Vps52-PA	
FBgn0031711	CG6907	CG6907-PA	CG6907-PB
FBgn0031713	CG7277	CG7277-PA	
FBgn0031715	tomb	tomb-PA	
FBgn0031716	CG14015	CG14015-PA	
FBgn0031717	Oscillin	Oscillin-PA	Oscillin-PB,Oscillin-PC,Oscillin-PF,Oscillin-PH
FBgn0031717	Oscillin	Oscillin-PD	Oscillin-PG
FBgn0031717	Oscillin	Oscillin-PE	
FBgn0031718	CG14014	CG14014-PB	
FBgn0031719	CG18269	CG18269-PA	
FBgn0031720	CG14013	CG14013-PA	
FBgn0031721	CG14017	CG14017-PA	
FBgn0031722	CG14011	CG14011-PA	CG14011-PB,CG14011-PC
FBgn0031723	CG7251	CG7251-PA	CG7251-PB
FBgn0031724	CG18266	CG18266-PA	
FBgn0031725	DIP-eta	DIP-eta-PB	DIP-eta-PD
FBgn0031726	Cyp6a16	Cyp6a16-PB	Cyp6a16-PC
FBgn0031728	Hsp60C	Hsp60C-PA	Hsp60C-PB,Hsp60C-PC
FBgn0031729	CG12511	CG12511-PB	
FBgn0031729	CG12511	CG12511-PC	CG12511-PD
FBgn0031730	CG7236	CG7236-PB	
FBgn0031730	CG7236	CG7236-PC	
FBgn0031730	CG7236	CG7236-PD	
FBgn0031730	CG7236	CG7236-PE	
FBgn0031731	CG14007	CG14007-PC	
FBgn0031732	CG11149	CG11149-PA	CG11149-PB
FBgn0031732	CG11149	CG11149-PC	CG11149-PD,CG11149-PE
FBgn0031733	CG14006	CG14006-PA	CG14006-PB
FBgn0031734	CG11147	CG11147-PA	CG11147-PB
FBgn0031735	CG11029	CG11029-PA	
FBgn0031736	CG11030	CG11030-PA	CG11030-PB
FBgn0031737	obst-E	obst-E-PA	
FBgn0031737	obst-E	obst-E-PB	
FBgn0031738	CG9171	CG9171-PC	CG9171-PD,CG9171-PE,CG9171-PF,CG9171-PG
FBgn0031739	CG14005	CG14005-PA	
FBgn0031739	CG14005	CG14005-PB	
FBgn0031740	CG7239	CG7239-PA	
FBgn0031741	CG11034	CG11034-PB	CG11034-PC
FBgn0031741	CG11034	CG11034-PD	
FBgn0031745	rau	rau-PA	rau-PB
FBgn0031746	CG9029	CG9029-PA	
FBgn0031746	CG9029	CG9029-PB	
FBgn0031747	CG9021	CG9021-PA	CG9021-PB
FBgn0031749	CG14000	CG14000-PA	
FBgn0031751	CG9016	CG9016-PA	CG9016-PB
FBgn0031752	CG9044	CG9044-PB	
FBgn0031752	CG9044	CG9044-PC	
FBgn0031753	CG13999	CG13999-PA	
FBgn0031756	CG13992	CG13992-PA	CG13992-PB,CG13992-PC
FBgn0031757	Ucp4C	Ucp4C-PA	
FBgn0031758	Ucp4B	Ucp4B-PA	
FBgn0031758	Ucp4B	Ucp4B-PB	
FBgn0031758	Ucp4B	Ucp4B-PC	
FBgn0031759	lid	lid-PA	lid-PB,lid-PC,lid-PD,lid-PE,lid-PF
FBgn0031760	Tsp26A	Tsp26A-PB	
FBgn0031760	Tsp26A	Tsp26A-PC	
FBgn0031760	Tsp26A	Tsp26A-PD	
FBgn0031762	CG9098	CG9098-PA	
FBgn0031762	CG9098	CG9098-PB	CG9098-PC
FBgn0031763	CG13996	CG13996-PA	
FBgn0031764	CG9107	CG9107-PA	CG9107-PB
FBgn0031765	CG9109	CG9109-PA	
FBgn0031765	CG9109	CG9109-PC	
FBgn0031766	CG9117	CG9117-PA	
FBgn0031768	CG12393	CG12393-PA	CG12393-PB,CG12393-PD
FBgn0031769	CG9135	CG9135-PA	CG9135-PB,CG9135-PC,CG9135-PD
FBgn0031770	CG13995	CG13995-PA	
FBgn0031771	ND-51	ND-51-PA	ND-51-PB
FBgn0031772	CG13994	CG13994-PA	CG13994-PB
FBgn0031773	Fbw5	Fbw5-PA	
FBgn0031774	CG9147	CG9147-PA	CG9147-PB,CG9147-PC,CG9147-PD
FBgn0031775	CG9150	CG9150-PB	
FBgn0031776	CG13993	CG13993-PA	CG13993-PB
FBgn0031777	CG9154	CG9154-PA	CG9154-PB
FBgn0031779	CG9175	CG9175-PA	CG9175-PB
FBgn0031781	Arpc4	Arpc4-PA	
FBgn0031782	WDR79	WDR79-PB	
FBgn0031782	WDR79	WDR79-PC	
FBgn0031784	CG9222	CG9222-PA	
FBgn0031785	CG13991	CG13991-PA	
FBgn0031786	CG13989	CG13989-PA	
FBgn0031791	AANATL2	AANATL2-PA	AANATL2-PB
FBgn0031792	CG13983	CG13983-PA	
FBgn0031799	Pez	Pez-PA	Pez-PB
FBgn0031800	CG9497	CG9497-PA	CG9497-PB
FBgn0031801	CG9498	CG9498-PA	
FBgn0031802	ppk7	ppk7-PA	
FBgn0031803	ppk14	ppk14-PB	
FBgn0031804	CG9500	CG9500-PA	
FBgn0031805	CG9505	CG9505-PA	
FBgn0031808	CG9507	CG9507-PA	
FBgn0031811	CG13982	CG13982-PA	CG13982-PB
FBgn0031813	CG9527	CG9527-PA	CG9527-PC,CG9527-PD
FBgn0031813	CG9527	CG9527-PB	
FBgn0031814	retm	retm-PA	retm-PC
FBgn0031814	retm	retm-PB	
FBgn0031815	frj	frj-PA	frj-PB
FBgn0031816	CG16947	CG16947-PA	CG16947-PB
FBgn0031817	CG9531	CG9531-PA	CG9531-PB
FBgn0031818	CG9536	CG9536-PA	CG9536-PB
FBgn0031820	Daxx	Daxx-PA	Daxx-PB
FBgn0031821	KFase	KFase-PA	KFase-PB
FBgn0031822	CG9548	CG9548-PA	
FBgn0031824	CG9547	CG9547-PA	
FBgn0031826	CG9550	CG9550-PA	
FBgn0031829	Osm6	Osm6-PA	
FBgn0031830	COX5B	COX5B-PA	COX5B-PB
FBgn0031831	COX5BL	COX5BL-PA	
FBgn0031832	CG9596	CG9596-PB	CG9596-PC,CG9596-PD
FBgn0031834	CG13766	CG13766-PA	CG13766-PB
FBgn0031835	CG11319	CG11319-PA	CG11319-PC
FBgn0031835	CG11319	CG11319-PB	
FBgn0031836	CG11050	CG11050-PA	CG11050-PB,CG11050-PC
FBgn0031837	DIP-iota	DIP-iota-PB	
FBgn0031842	Tango1	Tango1-PA	Tango1-PC
FBgn0031842	Tango1	Tango1-PD	
FBgn0031844	CG13771	CG13771-PA	
FBgn0031844	CG13771	CG13771-PB	
FBgn0031848	Nse1	Nse1-PA	Nse1-PB
FBgn0031849	CG11327	CG11327-PA	
FBgn0031850	Tsp	Tsp-PA	Tsp-PF
FBgn0031850	Tsp	Tsp-PC	Tsp-PD,Tsp-PE
FBgn0031850	Tsp	Tsp-PG	Tsp-PH
FBgn0031851	Aatf	Aatf-PA	
FBgn0031853	TTLL3B	TTLL3B-PB	
FBgn0031854	TTLL3A	TTLL3A-PA	
FBgn0031855	CG11221	CG11221-PA	CG11221-PB
FBgn0031856	CG11322	CG11322-PB	
FBgn0031857	CG11321	CG11321-PC	CG11321-PF
FBgn0031857	CG11321	CG11321-PD	CG11321-PK
FBgn0031857	CG11321	CG11321-PE	
FBgn0031857	CG11321	CG11321-PG	
FBgn0031857	CG11321	CG11321-PH	
FBgn0031857	CG11321	CG11321-PI	
FBgn0031857	CG11321	CG11321-PJ	
FBgn0031858	CG17378	CG17378-PA	
FBgn0031858	CG17378	CG17378-PB	CG17378-PC
FBgn0031859	CG17377	CG17377-PB	CG17377-PF
FBgn0031859	CG17377	CG17377-PD	
FBgn0031859	CG17377	CG17377-PE	
FBgn0031860	CG11236	CG11236-PA	
FBgn0031860	CG11236	CG11236-PB	
FBgn0031861	CG17375	CG17375-PB	
FBgn0031861	CG17375	CG17375-PC	CG17375-PD
FBgn0031865	Nha1	Nha1-PA	
FBgn0031865	Nha1	Nha1-PB	
FBgn0031866	Nlg2	Nlg2-PA	Nlg2-PB,Nlg2-PC
FBgn0031868	Rat1	Rat1-PA	Rat1-PB
FBgn0031869	CG18304	CG18304-PA	
FBgn0031869	CG18304	CG18304-PB	
FBgn0031869	CG18304	CG18304-PC	
FBgn0031869	CG18304	CG18304-PD	
FBgn0031871	Fgop2	Fgop2-PA	Fgop2-PB
FBgn0031872	ihog	ihog-PA	
FBgn0031873	Gas41	Gas41-PA	
FBgn0031874	CG13775	CG13775-PA	CG13775-PB
FBgn0031874	CG13775	CG13775-PC	
FBgn0031875	CG3430	CG3430-PA	
FBgn0031876	Atac1	Atac1-PA	
FBgn0031877	CG10399	CG10399-PA	CG10399-PB
FBgn0031878	sip2	sip2-PA	sip2-PD,sip2-PE
FBgn0031878	sip2	sip2-PB	
FBgn0031878	sip2	sip2-PC	
FBgn0031879	uif	uif-PB	uif-PG
FBgn0031879	uif	uif-PC	uif-PD,uif-PE,uif-PF
FBgn0031881	CG3476	CG3476-PA	
FBgn0031882	Rab30	Rab30-PA	Rab30-PB,Rab30-PC,Rab30-PD
FBgn0031883	Caper	Caper-PA	Caper-PB
FBgn0031883	Caper	Caper-PH	Caper-PI
FBgn0031883	Caper	Caper-PJ	
FBgn0031883	Caper	Caper-PK	Caper-PL
FBgn0031885	Mnn1	Mnn1-PA	Mnn1-PC
FBgn0031885	Mnn1	Mnn1-PB	
FBgn0031886	Nuf2	Nuf2-PA	
FBgn0031887	CG11289	CG11289-PB	
FBgn0031888	Pvf2	Pvf2-PA	
FBgn0031893	CG4495	CG4495-PA	
FBgn0031893	CG4495	CG4495-PB	
FBgn0031894	CG4496	CG4496-PA	CG4496-PB,CG4496-PC
FBgn0031895	CG4497	CG4497-PA	CG4497-PB
FBgn0031896	CG4502	CG4502-PA	CG4502-PB
FBgn0031897	CG13784	CG13784-PB	
FBgn0031897	CG13784	CG13784-PC	
FBgn0031897	CG13784	CG13784-PD	
FBgn0031897	CG13784	CG13784-PE	
FBgn0031897	CG13784	CG13784-PF	
FBgn0031900	CG13786	CG13786-PB	
FBgn0031902	Wnt6	Wnt6-PB	Wnt6-PC
FBgn0031903	Wnt10	Wnt10-PB	
FBgn0031904	CG5149	CG5149-PA	
FBgn0031905	gudu	gudu-PA	
FBgn0031906	CG5160	CG5160-PA	CG5160-PB
FBgn0031907	CG5171	CG5171-PA	CG5171-PB,CG5171-PE,CG5171-PF
FBgn0031907	CG5171	CG5171-PD	
FBgn0031908	CG5177	CG5177-PA	CG5177-PB
FBgn0031909	CG5181	CG5181-PA	
FBgn0031910	CG15818	CG15818-PA	
FBgn0031912	CG5261	CG5261-PA	
FBgn0031912	CG5261	CG5261-PB	CG5261-PF
FBgn0031912	CG5261	CG5261-PC	
FBgn0031912	CG5261	CG5261-PD	
FBgn0031912	CG5261	CG5261-PE	
FBgn0031913	CG5958	CG5958-PA	
FBgn0031914	CG5973	CG5973-PA	CG5973-PB,CG5973-PC,CG5973-PD,CG5973-PE,CG5973-PF,CG5973-PG
FBgn0031918	CG6055	CG6055-PA	CG6055-PB
FBgn0031920	CG6441	CG6441-PA	
FBgn0031920	CG6441	CG6441-PC	
FBgn0031925	Cyp4d21	Cyp4d21-PA	
FBgn0031926	CG6739	CG6739-PA	
FBgn0031926	CG6739	CG6739-PB	
FBgn0031929	CG18585	CG18585-PA	CG18585-PB
FBgn0031930	CG7025	CG7025-PA	
FBgn0031935	CG13793	CG13793-PB	
FBgn0031936	CG13794	CG13794-PA	
FBgn0031937	CG13795	CG13795-PB	CG13795-PC
FBgn0031939	CG13796	CG13796-PA	CG13796-PB,CG13796-PC,CG13796-PD
FBgn0031940	CG7214	CG7214-PA	
FBgn0031941	ATPsynGL	ATPsynGL-PA	
FBgn0031942	CG7203	CG7203-PB	CG7203-PC
FBgn0031945	CG7191	CG7191-PA	
FBgn0031945	CG7191	CG7191-PB	
FBgn0031946	CG7164	CG7164-PA	CG7164-PB
FBgn0031947	CG7154	CG7154-PA	
FBgn0031948	CG7149	CG7149-PA	CG7149-PC
FBgn0031948	CG7149	CG7149-PB	
FBgn0031950	Herp	Herp-PA	Herp-PC
FBgn0031951	r2d2	r2d2-PA	r2d2-PB,r2d2-PC
FBgn0031952	cdc14	cdc14-PA	cdc14-PD
FBgn0031952	cdc14	cdc14-PB	
FBgn0031952	cdc14	cdc14-PC	
FBgn0031952	cdc14	cdc14-PE	
FBgn0031954	CG14537	CG14537-PA	
FBgn0031955	CG14535	CG14535-PA	CG14535-PB
FBgn0031957	TwdlE	TwdlE-PA	
FBgn0031959	spz3	spz3-PA	
FBgn0031961	CG7102	CG7102-PA	CG7102-PB
FBgn0031968	CG7231	CG7231-PC	CG7231-PD,CG7231-PF
FBgn0031968	CG7231	CG7231-PE	
FBgn0031969	pes	pes-PC	pes-PD,pes-PF,pes-PG,pes-PH
FBgn0031969	pes	pes-PE	
FBgn0031970	CG7227	CG7227-PA	CG7227-PB,CG7227-PC
FBgn0031971	Sirup	Sirup-PA	Sirup-PC
FBgn0031972	Wwox	Wwox-PA	Wwox-PB
FBgn0031973	Spn28Dc	Spn28Dc-PA	
FBgn0031974	CG12560	CG12560-PB	
FBgn0031974	CG12560	CG12560-PC	
FBgn0031975	Tg	Tg-PA	
FBgn0031975	Tg	Tg-PB	
FBgn0031976	CG7367	CG7367-PB	CG7367-PD
FBgn0031976	CG7367	CG7367-PC	
FBgn0031977	baf	baf-PA	baf-PB
FBgn0031979	CCDC53	CCDC53-PA	
FBgn0031980	RpL36A	RpL36A-PA	RpL36A-PB
FBgn0031981	CG7466	CG7466-PB	
FBgn0031981	CG7466	CG7466-PC	
FBgn0031985	mon2	mon2-PB	mon2-PC
FBgn0031986	CG8673	CG8673-PA	
FBgn0031987	CG12375	CG12375-PA	
FBgn0031988	CG8668	CG8668-PA	CG8668-PB
FBgn0031990	PAPLA1	PAPLA1-PA	
FBgn0031990	PAPLA1	PAPLA1-PB	PAPLA1-PE
FBgn0031990	PAPLA1	PAPLA1-PD	
FBgn0031992	CG8498	CG8498-PA	CG8498-PB
FBgn0031995	CG8475	CG8475-PA	
FBgn0031995	CG8475	CG8475-PB	
FBgn0031995	CG8475	CG8475-PC	
FBgn0031996	CG8460	CG8460-PA	
FBgn0031997	PGAP5	PGAP5-PA	PGAP5-PC
FBgn0031997	PGAP5	PGAP5-PB	
FBgn0031998	SLC5A11	SLC5A11-PA	
FBgn0031999	CG8419	CG8419-PA	
FBgn0032000	CG8372	CG8372-PA	
FBgn0032000	CG8372	CG8372-PB	
FBgn0032001	CG8360	CG8360-PA	CG8360-PC
FBgn0032002	CG8353	CG8353-PA	CG8353-PB
FBgn0032003	CG8349	CG8349-PA	
FBgn0032004	CG8292	CG8292-PA	
FBgn0032005	Snx6	Snx6-PA	
FBgn0032005	Snx6	Snx6-PB	
FBgn0032006	Pvr	Pvr-PA	
FBgn0032006	Pvr	Pvr-PB	Pvr-PD,Pvr-PL
FBgn0032006	Pvr	Pvr-PE	
FBgn0032006	Pvr	Pvr-PG	
FBgn0032006	Pvr	Pvr-PH	
FBgn0032006	Pvr	Pvr-PI	
FBgn0032006	Pvr	Pvr-PJ	
FBgn0032006	Pvr	Pvr-PK	
FBgn0032006	Pvr	Pvr-PM	
FBgn0032006	Pvr	Pvr-PN	
FBgn0032006	Pvr	Pvr-PO	
FBgn0032008	CG14277	CG14277-PA	CG14277-PB
FBgn0032010	CG8086	CG8086-PA	
FBgn0032010	CG8086	CG8086-PB	
FBgn0032010	CG8086	CG8086-PG	
FBgn0032010	CG8086	CG8086-PH	
FBgn0032010	CG8086	CG8086-PI	
FBgn0032010	CG8086	CG8086-PJ	
FBgn0032010	CG8086	CG8086-PK	
FBgn0032010	CG8086	CG8086-PL	
FBgn0032010	CG8086	CG8086-PM	
FBgn0032010	CG8086	CG8086-PN	
FBgn0032010	CG8086	CG8086-PO	
FBgn0032010	CG8086	CG8086-PP	
FBgn0032013	Scgalpha	Scgalpha-PA	
FBgn0032013	Scgalpha	Scgalpha-PB	
FBgn0032013	Scgalpha	Scgalpha-PC	
FBgn0032014	CG7840	CG7840-PA	
FBgn0032015	Ostgamma	Ostgamma-PA	
FBgn0032016	CG7818	CG7818-PA	
FBgn0032017	CG7810	CG7810-PA	
FBgn0032018	CG7806	CG7806-PA	
FBgn0032020	CG7787	CG7787-PA	
FBgn0032021	CG7781	CG7781-PA	CG7781-PB
FBgn0032022	CG14275	CG14275-PA	CG14275-PB
FBgn0032023	CG14274	CG14274-PA	
FBgn0032024	CG14273	CG14273-PA	
FBgn0032025	CG7778	CG7778-PA	CG7778-PB
FBgn0032026	CG7627	CG7627-PA	CG7627-PB
FBgn0032029	CG17292	CG17292-PA	CG17292-PB,CG17292-PC,CG17292-PD
FBgn0032030	Wdr82	Wdr82-PA	
FBgn0032031	CG13390	CG13390-PA	
FBgn0032032	CG17294	CG17294-PA	
FBgn0032033	CG13392	CG13392-PA	CG13392-PB
FBgn0032034	Rcd4	Rcd4-PA	Rcd4-PB
FBgn0032036	CG13384	CG13384-PB	CG13384-PJ
FBgn0032036	CG13384	CG13384-PC	
FBgn0032036	CG13384	CG13384-PD	CG13384-PE,CG13384-PF,CG13384-PH,CG13384-PI
FBgn0032036	CG13384	CG13384-PG	CG13384-PK,CG13384-PL
FBgn0032039	CG13385	CG13385-PA	
FBgn0032040	CG13386	CG13386-PA	
FBgn0032042	CG13398	CG13398-PA	CG13398-PB
FBgn0032047	CG13088	CG13088-PA	
FBgn0032048	Dh31	Dh31-PA	
FBgn0032048	Dh31	Dh31-PC	
FBgn0032049	Bace	Bace-PA	Bace-PB
FBgn0032050	CG13096	CG13096-PA	CG13096-PB
FBgn0032051	CG13097	CG13097-PA	
FBgn0032052	PIG-U	PIG-U-PA	
FBgn0032053	mRpL51	mRpL51-PA	
FBgn0032054	CG13090	CG13090-PA	CG13090-PB,CG13090-PC
FBgn0032055	CG13091	CG13091-PA	CG13091-PB
FBgn0032057	CG9287	CG9287-PA	
FBgn0032058	CG9289	CG9289-PA	
FBgn0032059	PrBP	PrBP-PA	
FBgn0032061	CG9314	CG9314-PA	CG9314-PC
FBgn0032065	CG12438	CG12438-PA	
FBgn0032066	LManIII	LManIII-PA	LManIII-PB
FBgn0032067	LManIV	LManIV-PB	
FBgn0032068	LManV	LManV-PA	LManV-PB
FBgn0032069	LManVI	LManVI-PA	
FBgn0032072	CG9483	CG9483-PA	
FBgn0032074	Tsp29Fa	Tsp29Fa-PA	Tsp29Fa-PB,Tsp29Fa-PC
FBgn0032075	Tsp29Fb	Tsp29Fb-PA	Tsp29Fb-PB,Tsp29Fb-PC
FBgn0032076	CG9510	CG9510-PB	CG9510-PC,CG9510-PD
FBgn0032077	CG9515	CG9515-PA	CG9515-PB
FBgn0032078	C1GalTA	C1GalTA-PA	C1GalTA-PB,C1GalTA-PC
FBgn0032079	CG31886	CG31886-PA	
FBgn0032079	CG31886	CG31886-PB	
FBgn0032079	CG31886	CG31886-PC	
FBgn0032080	CG9525	CG9525-PA	
FBgn0032080	CG9525	CG9525-PB	
FBgn0032082	CG18088	CG18088-PA	CG18088-PB,CG18088-PC
FBgn0032083	CG9541	CG9541-PC	
FBgn0032083	CG9541	CG9541-PD	
FBgn0032084	CG13101	CG13101-PA	CG13101-PB
FBgn0032085	CG9555	CG9555-PA	CG9555-PC
FBgn0032086	CG17906	CG17906-PA	
FBgn0032087	CG9568	CG9568-PA	
FBgn0032088	CG13102	CG13102-PA	CG13102-PB
FBgn0032089	Rcd-1r	Rcd-1r-PA	
FBgn0032090	CG9582	CG9582-PA	CG9582-PB
FBgn0032094	CG12439	CG12439-PA	CG12439-PB
